pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,margin,fixed_cost_ada,pledge_met,unsaturated_k1000,f_base_k500_c_declared,D_base_k500_c_declared,f_A_k1000_c_declared,D_A_k1000_c_declared,f_B_k1000_c170,D_B_k1000_c170,f_C_k500_c75,D_C_k500_c75,f_D_k1000_c75,D_D_k1000_c75
pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,,4419.361614,4000.0,0.0,0.0,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,YULI,6712.196804,1.0,1497.271996,0.005,340.0,True,True,1.9934875375633383,0.0,1.9934875452761367,0.0,1.9934875452761367,0.0,1.9934875375633383,0.0,1.9934875452761367,0.0
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,1268558.68384,50000.0,53374.407057,0.0,170.0,True,True,376.82539731869457,0.00016303967640867996,376.89555937518014,0.0001630949848917477,376.89555937518014,0.0001630949848917477,376.82539731869457,0.00023792781616145006,376.89555937518014,0.00023798312464451776
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,1764031.096207,50000.0,93160.970503,0.01,340.0,True,True,524.0066153222492,0.00010326719838483528,524.1053033821079,0.00010332258356453542,524.1053033821079,0.00019872906498194173,524.0066153222492,0.0002519890664766745,524.1053033821079,0.00025204445165637467
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,58465669.811509,1000.0,1094.142715,0.01,340.0,True,False,17364.06695097956,0.0002882687624345335,11512.782821944487,0.00018918888690380945,11512.782821944487,0.00019206749926799845,17364.06695097956,0.00029275601111988694,11512.782821944487,0.00019367613558916286
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,BNP,24668.670882,2.0,17.639298,0.06,345.0,True,True,7.326466967193672,0.0,7.326467023889689,0.0,7.326467023889689,0.0,7.326466967193672,0.0,7.326467023889689,0.0
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,NUFIB,24594658.61133,1000.0,1004.645511,0.03,340.0,True,True,7304.51391562825,0.00027467665255769463,7304.542180820071,0.0002746777673215342,7304.542180820071,0.0002813824751447213,7304.51391562825,0.0002851281088703098,7304.542180820071,0.00028512922363414935
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,PILOT,14870603.710077,325000.0,325050.0,0.0,340.0,True,True,4421.948061858515,0.00027449780395212873,4427.4507548663805,0.0002748678422582492,4427.4507548663805,0.00028629979238713334,4421.948061858515,0.0002923181968000952,4427.4507548663805,0.0002926882351062157
pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,ADASC,1182230.365966,100000.0,105494.080424,0.0,340.0,True,True,351.24081786116403,9.5081450999435e-06,351.36571821147436,9.613793164741996e-06,351.36571821147436,0.00015340979510645585,351.24081786116403,0.00023366073636202686,351.36571821147436,0.00023376638442682536
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,SEAL,1895162.283236,60000.0,100377.502775,0.0,170.0,True,True,562.9799823481062,0.0002073595416204098,563.1068286346358,0.00020742647324291602,563.1068286346358,0.00020742647324291602,562.9799823481062,0.0002574871749319946,563.1068286346358,0.0002575541065545008
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,,70016947.134638,0.0,0.0,0.05,340.0,True,False,20794.669028167747,0.00027753188866394047,11512.69372350527,0.00015159271393138388,11512.69372350527,0.00015389929836000008,20794.669028167747,0.0002811274467438422,11512.69372350527,0.0001551882720112856
pool1057u7q40d3azwak890qe9rt3yh554udtqjgj8nkuk0d5unenspe,ETO16,0.0,0.0,0.0,1.0,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool105y08fgl97g255q7v9nk0x7aqyxaqcluve2jxhgwemkaxkeyd82,,0.0,2000.0,0.0,0.03,345.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool106jtt06k5wjpqc5r5fkz06pgwhwaljzs624mnfua8fkhq0fl9am,,90.188364,0.0,0.0,0.06,345.0,True,True,0.026785474893179454,0.0,0.026785474893179454,0.0,0.026785474893179454,0.0,0.026785474893179454,0.0,0.026785474893179454,0.0
pool106l8sgu50wpw3nmqkmhlgzl5cctw428ruem2rpwjklg46nprex0,,502.365742,100.0,502.365742,0.025,345.0,True,True,0.14920005800301178,0.0,0.14920010424484964,0.0,0.14920010424484964,0.0,0.14920005800301178,0.0,0.14920010424484964,0.0
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,VOLT,4183332.400362,1000.0,2683.517769,0.0,340.0,True,True,1242.4327652431173,0.00021572102784971767,1242.437571946761,0.00021572217686279712,1242.437571946761,0.0002563596361250086,1242.4327652431173,0.0002790676555231649,1242.437571946761,0.00027906880453624437
pool106sjgd9m4shsvtc9ruk7femgndknefmct6eedskww37pzv8hz9n,,60886841.633738,100.0,1912.562755,0.03,170.0,True,False,18083.082192149348,0.00028537676220598745,11512.702633349192,0.00018070278009382185,11512.702633349192,0.00018070278009382185,18083.082192149348,0.0002868902255016257,11512.702633349192,0.0001822162433894601
