pool_id,ticker,sigma_ada,pledge_met,unsaturated_k1000,D_base_k500_a0_0p3,D_A_k1000_a0_0p3,D_B_k1000_a0_0p6,D_C_k500_a0_0p6,f_base,f_A,f_B,f_C
pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,,4419.361614,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,YULI,6712.196804,True,True,0.0,0.0,0.0,0.0,1.9934875375633383,1.9934875452761367,1.6197086430701586,1.619708630536861
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,1268558.68384,True,True,0.00016303967640867996,0.0001630949848917477,0.00010747754966105346,0.00010738767337606832,376.82539731869457,376.89555937518014,306.34157894037423,306.22756559858504
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,1764031.096207,True,True,0.00010326719838483528,0.00010332258356453542,4.8262109912976974e-05,4.817210899596419e-05,524.0066153222492,524.1053033821079,425.9958208636884,425.835452766418
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,58465669.811509,True,False,0.0002882687624345335,0.00018918888690380945,0.00015263771679567648,0.0002331398142602021,17364.06695097956,11512.782821944487,9354.20843531176,14108.358990357083
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,BNP,24668.670882,True,True,0.0,0.0,0.0,0.0,7.326466967193672,7.326467023889689,5.9527545490414004,5.9527544569103705
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,NUFIB,24594658.61133,True,True,0.00027467665255769463,0.0002746777673215342,0.00022066323198292493,0.00022066142049168567,7304.51391562825,7304.542180820071,5934.986452260571,5934.940521323862
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,PILOT,14870603.710077,True,True,0.00027449780395212873,0.0002748678422582492,0.00021964190845080966,0.00021904059620336385,4421.948061858515,4427.4507548663805,3606.207778697003,3597.2659025592206
pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,ADASC,1182230.365966,True,True,9.5081450999435e-06,9.613793164741996e-06,0.0,0.0,351.24081786116403,351.36571821147436,285.6873243361585,285.48436126690433
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,SEAL,1895162.283236,True,True,0.0002073595416204098,0.00020742647324291602,0.0001518235465540605,0.0001517147826674879,562.9799823481062,563.1068286346358,457.7302591363804,457.5241339207699
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,,70016947.134638,True,False,0.00027753188866394047,0.00015159271393138388,0.00012230411090851834,0.00022462969037872062,20794.669028167747,11512.69372350527,9354.063650348033,16895.6685853863
pool1057u7q40d3azwak890qe9rt3yh554udtqjgj8nkuk0d5unenspe,ETO16,0.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool105y08fgl97g255q7v9nk0x7aqyxaqcluve2jxhgwemkaxkeyd82,,0.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool106jtt06k5wjpqc5r5fkz06pgwhwaljzs624mnfua8fkhq0fl9am,,90.188364,True,True,0.0,0.0,0.0,0.0,0.026785474893179454,0.026785474893179454,0.02176319835070831,0.02176319835070831
pool106l8sgu50wpw3nmqkmhlgzl5cctw428ruem2rpwjklg46nprex0,,502.365742,True,True,0.0,0.0,0.0,0.0,0.14920005800301178,0.14920010424484964,0.12122515984180585,0.12122508469881932
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,VOLT,4183332.400362,True,True,0.00021572102784971767,0.00021572217686279712,0.00016003708859985917,0.00016003522145360504,1242.4327652431173,1242.437571946761,1009.4883379993948,1009.4805271059738
pool106sjgd9m4shsvtc9ruk7femgndknefmct6eedskww37pzv8hz9n,,60886841.633738,True,False,0.00028537676220598745,0.00018070278009382185,0.00014631331739241922,0.00023136090310340465,18083.082192149348,11512.702633349192,9354.078128844405,14692.509966490312
pool1072lq3k32sfxs96s9qhrx3s9la2t68vrqwfsp7h9qnwk56yr2mv,lSPF0,7440989.98039,True,True,0.0,0.0,0.0,0.0,2209.9387320492247,2209.9421525215266,1795.5835571625532,1795.5779988950621
pool107attaqquuq5ne2ch0hx0qcnlkzzr2683s4gml4ywnqvgj6pak9,CCJ5,228950.904531,True,True,0.0,0.0,0.0,0.0,67.99974412165398,68.00226141847982,55.25592745835167,55.25183685100966
pool107qfdeg9wlpt9yntg7650kzval6ahl696jr2ca20763ukzr0tzw,SRP,349059.504194,True,True,0.0,0.0,0.0,0.0,103.686054268197,103.7032776826,84.28688014483903,84.25889209643412
pool107rsdzswa5s3y8wk5z62tgh5lhm790dsyqjp4lq66fht7qnaq9d,WORLD,25216220.127326,True,True,0.0002743958561165771,0.00027439708488626795,0.00021926896156133463,0.00021926696481058697,7489.117484708768,7489.14878261484,6084.984244263432,6084.933385166066
pool1085up093vl7qgwnqsuset7kdt3yflscdp6h8eeakuhyzwlhmq68,BPE,421298.335901,True,True,0.0,0.0,0.0,0.0,125.12341439613324,125.12341488030641,101.66277537703037,101.66277459024897
pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc,AZUR,45107923.532674,True,False,0.000284228691588886,0.00024370215304388542,0.00019740937538651328,0.00023000622193914235,13422.618455085154,11557.242943113877,9426.456132212019,10926.839868642937
pool1095d0cr8yp0selmnrst5hnuf8jcl6vlkxlr2j6kq4x6qs4yxuwt,,59250169.612026,True,False,0.0002825187246774148,0.00018291108671527622,0.00014757159005774213,0.00022850279590197974,17596.992119288767,11512.69372350527,9354.063650348033,14297.556096922122
pool109k0t72eh8txza4ptnagnfyqkjnmfe60afmtm4dvj9lz7dy78lh,,386060.336469,True,True,0.0,0.0,0.0,0.0,114.6587941906492,114.65967701688153,93.16242213164553,93.160987539018
pool10c9l3k0z50ytt4krkfet7w3gwpv9d9nq47kk9ecy2c5f2uyvkgk,BIRTH,273183.412202,True,True,0.0,0.0,0.0,0.0,81.13408354140479,81.13411492545522,65.92151937594853,65.92146837686657
pool10cpz0zepq23hm6lrk8vgnsdwl772lasq9caaemvw9kh9ktxqygk,ESQ,2211.906006,True,True,0.0,0.0,0.0,0.0,0.6569250632935418,0.6569255507501301,0.533752801888312,0.5337520097713561
