pool_id,pool_ticker,declared_pledge_ada,active_pledge_ada,active_stake_ada,third_party_delegation_ada,third_party_delegation_vs_declared_ada
pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,,4000.0,0.0,4419.361614,4419.361614,419.3616140000004
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,YULI,1.0,1497.271996,6712.196804,5214.924808,6711.196804
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,50000.0,53374.407057,1268558.68384,1215184.276783,1218558.68384
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,50000.0,93160.970503,1764031.096207,1670870.125704,1714031.096207
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,1000.0,1094.142715,58465669.811509,58464575.668794,58464669.811509
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,BNP,2.0,17.639298,24668.670882,24651.031584,24666.670882
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,NUFIB,1000.0,1004.645511,24594658.61133,24593653.965818997,24593658.61133
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,PILOT,325000.0,325050.0,14870603.710077,14545553.710077,14545603.710077
pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,ADASC,100000.0,105494.080424,1182230.365966,1076736.2855419999,1082230.365966
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,SEAL,60000.0,100377.502775,1895162.283236,1794784.780461,1835162.283236
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,,0.0,0.0,70016947.134638,70016947.134638,70016947.134638
pool1057u7q40d3azwak890qe9rt3yh554udtqjgj8nkuk0d5unenspe,ETO16,0.0,0.0,0.0,0.0,0.0
pool105y08fgl97g255q7v9nk0x7aqyxaqcluve2jxhgwemkaxkeyd82,,2000.0,0.0,0.0,0.0,-2000.0
pool106jtt06k5wjpqc5r5fkz06pgwhwaljzs624mnfua8fkhq0fl9am,,0.0,0.0,90.188364,90.188364,90.188364
pool106l8sgu50wpw3nmqkmhlgzl5cctw428ruem2rpwjklg46nprex0,,100.0,502.365742,502.365742,0.0,402.365742
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,VOLT,1000.0,2683.517769,4183332.400362,4180648.882593,4182332.400362
pool106sjgd9m4shsvtc9ruk7femgndknefmct6eedskww37pzv8hz9n,,100.0,1912.562755,60886841.633738,60884929.070983,60886741.633738
