pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,fixed_cost_ada,margin,declared_pledge_met,f_ada_a0_0p3,pi_ada_a0_0p3,U_ada_a0_0p3,coverage_ratio_a0_0p3,category_a0_0p3,f_ada_a0_0p6,pi_ada_a0_0p6,U_ada_a0_0p6,coverage_ratio_a0_0p6,category_a0_0p6,delta_U_ada,delta_r
pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,,4419.361614,4000.0,0.0,340.0,0.0,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,YULI,6712.196804,1.0,1497.271996,340.0,0.005,True,1.9934875375633383,1.9934875375633383,-739.1176235735479,0.0026898632440884624,losing_lt_025,1.619708630536861,1.619708630536861,-739.4914024805744,0.0021855138942776233,losing_lt_025,-0.37377890702646255,-0.000504349349810839
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,1268558.68384,50000.0,53374.407057,170.0,0.0,True,376.82539731869457,178.70214605507846,-562.4089650560327,0.2411273335076021,losing_lt_025,306.22756559858504,175.73175339167844,-565.3793577194327,0.23711930742505333,losing_lt_025,-2.970392663400048,-0.004008026082548771
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,1764031.096207,50000.0,93160.970503,340.0,0.01,True,524.0066153222492,351.4605385758796,-389.6505725352316,0.4742346097725511,losing_025_050,425.835452766418,345.3461149529045,-395.7649961582067,0.46598426305489354,losing_025_050,-6.114423622975096,-0.008250346717657564
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,58465669.811509,1000.0,1094.142715,340.0,0.01,True,17364.06695097956,510.5560766761754,-230.5550344349358,0.6889062503876429,losing_050_075,14108.358990357083,477.9386781329201,-263.1724329781911,0.6448947680953944,losing_050_075,-32.61739854325532,-0.044011482292248494
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,BNP,24668.670882,2.0,17.639298,345.0,0.06,True,7.326466967193672,7.326466967193672,-733.7846441439175,0.009885787511955478,losing_lt_025,5.9527544569103705,5.9527544569103705,-735.1583566542008,0.008032202415621189,losing_lt_025,-1.373712510283326,-0.0018535850963342891
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,NUFIB,24594658.61133,1000.0,1004.645511,340.0,0.03,True,7304.51391562825,549.2113701348161,-191.8997409762951,0.7410648172733649,losing_050_075,5934.940521323862,508.0699021452637,-233.0412089658475,0.6855515921000559,losing_050_075,-41.14146798955238,-0.05551322517330903
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,PILOT,14870603.710077,325000.0,325050.0,340.0,0.0,True,4421.948061858515,429.22551117463945,-311.88559993647175,0.5791648576569347,losing_050_075,3597.2659025592206,411.1991457959034,-329.9119653152078,0.5548414261114138,losing_050_075,-18.026365378736045,-0.024323431545520857
pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,ADASC,1182230.365966,100000.0,105494.080424,340.0,0.0,True,351.24081786116403,341.0030530238565,-400.1080580872547,0.46012405955243,losing_025_050,285.48436126690433,285.48436126690433,-455.62674984420687,0.3852112820692862,losing_025_050,-55.518691756952194,-0.07491277748314384
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,SEAL,1895162.283236,60000.0,100377.502775,170.0,0.0,True,562.9799823481062,190.8142329644254,-550.2968781466858,0.25747047926234307,losing_025_050,457.5241339207699,185.2287510182143,-555.8823600928969,0.2499338469511137,losing_lt_025,-5.585481946211075,-0.007536632311229363
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,,70016947.134638,0.0,0.0,340.0,0.05,True,20794.669028167747,1362.7334514083873,621.6223402972761,1.8387707740143155,edge,16895.6685853863,1167.783429269315,426.6723181582039,1.5757197696287608,edge,-194.9500221390722,-0.26305100438555473
pool1057u7q40d3azwak890qe9rt3yh554udtqjgj8nkuk0d5unenspe,ETO16,0.0,0.0,0.0,340.0,1.0,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
pool105y08fgl97g255q7v9nk0x7aqyxaqcluve2jxhgwemkaxkeyd82,,0.0,2000.0,0.0,345.0,0.03,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
pool106jtt06k5wjpqc5r5fkz06pgwhwaljzs624mnfua8fkhq0fl9am,,90.188364,0.0,0.0,345.0,0.06,True,0.026785474893179454,0.026785474893179454,-741.0843256362181,3.614231994581935e-05,losing_lt_025,0.02176319835070831,0.02176319835070831,-741.0893479127604,2.9365634955978225e-05,losing_lt_025,-0.005022276542376858,-6.776684989841125e-06
pool106l8sgu50wpw3nmqkmhlgzl5cctw428ruem2rpwjklg46nprex0,,502.365742,100.0,502.365742,345.0,0.025,True,0.14920005800301178,0.14920005800301178,-740.9619110531082,0.0002013194185947685,losing_lt_025,0.12122508469881932,0.12122508469881932,-740.9898860264124,0.00016357207830425394,losing_lt_025,-0.027974973304139894,-3.7747340290514574e-05
