pool_id,pool_name.ticker,pool_name.name,sigma_ada,pledge_ada,sigma_over_T,pledge_over_T,R_ada,T_ada,z0_ada,k,f_a0_0.1,f_a0_0.3,f_a0_0.3_plus_1pct,f_a0_0.3_plus_10pct,f_a0_0.3_plus_25pct,f_a0_0.3_plus_50pct,f_a0_0.3_plus_75pct,f_a0_0.3_plus_100pct
pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,,,4419.361614,4000.000000,0.000000114007,0.000000103189,14966501.840557,38763957566.434639,77527915.132869,500,1.5511695137,1.3125293360,1.3095074151,1.2829235997,1.2409372827,1.1767513038,1.1188786999,1.0664316527
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,YULI,YuliPool,6712.196804,1497.271996,0.000000173156,0.000000038625,14966501.840557,38763957566.434639,77527915.132869,500,2.3559433431,1.9934965036,1.9889068083,1.9485312941,1.8847624517,1.7872767500,1.6993798059,1.6197232003
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,888POOL.IO,1268558.683840,53374.407057,0.000032725211,0.000001376908,14966501.840557,38763957566.434639,77527915.132869,500,445.2856834442,376.8299224801,375.9630613474,368.3372904808,356.2931941909,337.8809550350,321.2797557962,306.2349189859
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,ROMER,1764031.096207,93160.970503,0.000045506992,0.000002403288,14966501.840557,38763957566.434639,77527915.132869,500,619.2346302043,524.0871760393,522.8823157217,512.2831685677,495.5429397897,469.9515555660,446.8773566758,425.9663639316
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,Garden Pool Two,58465669.811509,1094.142715,0.001508248215,0.000000028226,14966501.840557,38763957566.434639,77527915.132869,500,20521.1195864826,17364.0732764935,17324.0953301275,16972.4096365324,16416.9593834967,15567.8227897755,14802.2078282236,14108.3692693172
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,BNP,Binance Staking - 75,24668.670882,17.639298,0.000000636382,0.000000000455,14966501.840557,38763957566.434639,77527915.132869,500,8.6585520002,7.3264674102,7.3095991096,7.1612087957,6.9268420332,6.5685572125,6.2455135216,5.9527551768
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,NUFIB,Nu.Fi & AdaLite B,24594658.611330,1004.645511,0.000634472333,0.000000025917,14966501.840557,38763957566.434639,77527915.132869,500,8632.5851375867,7304.5140469275,7287.6965695707,7139.7533477103,6906.0927197297,6548.8873918972,6226.8170143433,5934.9407346851
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,PILOT,Pilot Pool 2,14870603.710077,325050.000000,0.000383619337,0.000008385367,14966501.840557,38763957566.434639,77527915.132869,500,5221.6401774218,4421.9488861671,4411.8223272218,4322.7390643197,4182.0414987906,3966.9521170049,3773.0190678538,3597.2672420606
pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,ADASC,ADASTATS StakePool,1182230.365966,105494.080424,0.000030498185,0.000002721448,14966501.840557,38763957566.434639,77527915.132869,500,415.0070918353,351.2470047942,350.4396053804,343.3369188079,332.1189786818,314.9697138915,299.5072620313,285.4944150330
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,SEAL,adaseal.eu,1895162.283236,100377.502775,0.000048889804,0.000002589454,14966501.840557,38763957566.434639,77527915.132869,500,665.2719828775,563.0606644861,561.7663538541,550.3803129563,532.3972689687,504.9059488496,480.1186930046,457.6552423950
