a0,sum_f_ada,sum_f_baseline_a0_0.3,savings_vs_baseline_ada,savings_vs_baseline_pct_of_R,unallocated_pct_of_R
0.100000,7553294.1234007766,6512525.2186889034,-1040768.9047118733,-6.95398909,49.53200017
0.101000,7547149.7111567892,6512525.2186889034,-1034624.4924678858,-6.91293466,49.57305460
0.102000,7541016.4502961962,6512525.2186889034,-1028491.2316072928,-6.87195473,49.61403452
0.103000,7534894.3104888415,6512525.2186889034,-1022369.0917999381,-6.83104912,49.65494014
0.104000,7528783.2615144737,6512525.2186889034,-1016258.0428255703,-6.79021760,49.69577165
0.105000,7522683.2732621999,6512525.2186889034,-1010158.0545732966,-6.74946000,49.73652926
0.106000,7516594.3157301247,6512525.2186889034,-1004069.0970412213,-6.70877609,49.77721317
0.107000,7510516.3590246532,6512525.2186889034,-997991.1403357498,-6.66816569,49.81782357
0.108000,7504449.3733601505,6512525.2186889034,-991924.1546712471,-6.62762859,49.85836067
0.109000,7498393.3290584460,6512525.2186889034,-985868.1103695426,-6.58716460,49.89882466
0.110000,7492348.1965482989,6512525.2186889034,-979822.9778593956,-6.54677351,49.93921575
0.111000,7486313.9463648805,6512525.2186889034,-973788.7276759772,-6.50645514,49.97953412
0.112000,7480290.5491494099,6512525.2186889034,-967765.3304605065,-6.46620928,50.01977998
0.113000,7474277.9756486276,6512525.2186889034,-961752.7569597242,-6.42603574,50.05995352
0.114000,7468276.1967142690,6512525.2186889034,-955750.9780253656,-6.38593432,50.10005493
0.115000,7462285.1833026651,6512525.2186889034,-949759.9646137618,-6.34590484,50.14008442
0.116000,7456304.9064742206,6512525.2186889034,-943779.6877853172,-6.30594709,50.18004216
0.117000,7450335.3373930259,6512525.2186889034,-937810.1187041225,-6.26606089,50.21992837
0.118000,7444376.4473262830,6512525.2186889034,-931851.2286373796,-6.22624604,50.25974321
0.119000,7438428.2076439261,6512525.2186889034,-925902.9889550228,-6.18650236,50.29948690
0.120000,7432490.5898181600,6512525.2186889034,-919965.3711292567,-6.14682964,50.33915962
0.121000,7426563.5654229382,6512525.2186889034,-914038.3467340348,-6.10722770,50.37876155
0.122000,7420647.1061335942,6512525.2186889034,-908121.8874446908,-6.06769636,50.41829290
0.123000,7414741.1837263200,6512525.2186889034,-902215.9650374167,-6.02823542,50.45775384
0.124000,7408845.7700777855,6512525.2186889034,-896320.5513888821,-5.98884469,50.49714456
0.125000,7402960.8371646255,6512525.2186889034,-890435.6184757221,-5.94952400,50.53646526
0.126000,7397086.3570630495,6512525.2186889034,-884561.1383741461,-5.91027314,50.57571612
0.127000,7391222.3019483006,6512525.2186889034,-878697.0832593972,-5.87109194,50.61489732
0.128000,7385368.6440944523,6512525.2186889034,-872843.4254055489,-5.83198021,50.65400905
0.129000,7379525.3558736118,6512525.2186889034,-867000.1371847084,-5.79293776,50.69305149
0.130000,7373692.4097558223,6512525.2186889034,-861167.1910669189,-5.75396442,50.73202484
0.131000,7367869.7783084316,6512525.2186889034,-855344.5596195282,-5.71506000,50.77092926
0.132000,7362057.4341957821,6512525.2186889034,-849532.2155068787,-5.67622431,50.80976495
0.133000,7356255.3501786375,6512525.2186889034,-843730.1314897342,-5.63745717,50.84853208
0.134000,7350463.4991139136,6512525.2186889034,-837938.2804250102,-5.59875841,50.88723085
0.135000,7344681.8539541336,6512525.2186889034,-832156.6352652302,-5.56012784,50.92586142
0.136000,7338910.3877471201,6512525.2186889034,-826385.1690582167,-5.52156528,50.96442398
0.137000,7333149.0736354291,6512525.2186889034,-820623.8549465258,-5.48307055,51.00291871
0.138000,7327397.8848561263,6512525.2186889034,-814872.6661672229,-5.44464348,51.04134578
0.139000,7321656.7947401572,6512525.2186889034,-809131.5760512538,-5.40628388,51.07970538
0.140000,7315925.7767121168,6512525.2186889034,-803400.5580232134,-5.36799158,51.11799768
0.141000,7310204.8042897498,6512525.2186889034,-797679.5856008464,-5.32976639,51.15622286
0.142000,7304493.8510835068,6512525.2186889034,-791968.6323946035,-5.29160816,51.19438110
0.143000,7298792.8907962618,6512525.2186889034,-786267.6721073585,-5.25351669,51.23247257
0.144000,7293101.8972228123,6512525.2186889034,-780576.6785339089,-5.21549182,51.27049744
0.145000,7287420.8442494981,6512525.2186889034,-774895.6255605947,-5.17753336,51.30845590
0.146000,7281749.7058537910,6512525.2186889034,-769224.4871648876,-5.13964115,51.34634811
0.147000,7276088.4561039349,6512525.2186889034,-763563.2374150315,-5.10181501,51.38417425
0.148000,7270437.0691585578,6512525.2186889034,-757911.8504696544,-5.06405477,51.42193449
0.149000,7264795.5192661323,6512525.2186889034,-752270.3005772289,-5.02636026,51.45962900
0.150000,7259163.7807648284,6512525.2186889034,-746638.5620759251,-4.98873130,51.49725796
0.151000,7253541.8280819412,6512525.2186889034,-741016.6093930379,-4.95116773,51.53482153
0.152000,7247929.6357335858,6512525.2186889034,-735404.4170446824,-4.91366937,51.57231989
0.153000,7242327.1783242514,6512525.2186889034,-729801.9596353481,-4.87623606,51.60975320
0.154000,7236734.4305464774,6512525.2186889034,-724209.2118575741,-4.83886762,51.64712163
0.155000,7231151.3671804396,6512525.2186889034,-718626.1484915363,-4.80156389,51.68442536
0.156000,7225577.9630936040,6512525.2186889034,-713052.7444047006,-4.76432470,51.72166455
0.157000,7220014.1932402551,6512525.2186889034,-707488.9745513517,-4.72714989,51.75883937
0.158000,7214460.0326612489,6512525.2186889034,-701934.8139723456,-4.69003927,51.79594999
0.159000,7208915.4564835988,6512525.2186889034,-696390.2377946954,-4.65299270,51.83299656
0.160000,7203380.4399200855,6512525.2186889034,-690855.2212311821,-4.61601000,51.86997926
0.161000,7197854.9582687765,6512525.2186889034,-685329.7395798732,-4.57909101,51.90689825
0.162000,7192338.9869129332,6512525.2186889034,-679813.7682240298,-4.54223556,51.94375370
0.163000,7186832.5013203789,6512525.2186889034,-674307.2826314755,-4.50544349,51.98054577
0.164000,7181335.4770432832,6512525.2186889034,-668810.2583543798,-4.46871464,52.01727462
0.165000,7175847.8897177354,6512525.2186889034,-663322.6710288320,-4.43204884,52.05394042
0.166000,7170369.7150633940,6512525.2186889034,-657844.4963744907,-4.39544593,52.09054333
0.167000,7164900.9288832014,6512525.2186889034,-652375.7101942981,-4.35890576,52.12708350
0.168000,7159441.5070628896,6512525.2186889034,-646916.2883739863,-4.32242815,52.16356111
0.169000,7153991.4255707832,6512525.2186889034,-641466.2068818798,-4.28601295,52.19997631
0.170000,7148550.6604572954,6512525.2186889034,-636025.4417683920,-4.24966000,52.23632926
0.171000,7143119.1878546625,6512525.2186889034,-630593.9691657592,-4.21336914,52.27262012
0.172000,7137696.9839765886,6512525.2186889034,-625171.7652876852,-4.17714020,52.30884905
0.173000,7132284.0251179347,6512525.2186889034,-619758.8064290313,-4.14097304,52.34501622
0.174000,7126880.2876542760,6512525.2186889034,-614355.0689653726,-4.10486749,52.38112176
0.175000,7121485.7480415897,6512525.2186889034,-608960.5293526864,-4.06882340,52.41716586
0.176000,7116100.3828160372,6512525.2186889034,-603575.1641271338,-4.03284061,52.45314865
0.177000,7110724.1685934095,6512525.2186889034,-598198.9499045061,-3.99691896,52.48907030
0.178000,7105357.0820689378,6512525.2186889034,-592831.8633800345,-3.96105830,52.52493096
0.179000,7099999.1000169590,6512525.2186889034,-587473.8813280556,-3.92525847,52.56073079
0.180000,7094650.1992904823,6512525.2186889034,-582124.9806015790,-3.88951932,52.59646994
0.181000,7089310.3568209223,6512525.2186889034,-576785.1381320190,-3.85384069,52.63214857
0.182000,7083979.5496178586,6512525.2186889034,-571454.3309289552,-3.81822243,52.66776682
0.183000,7078657.7547684396,6512525.2186889034,-566132.5360795362,-3.78266439,52.70332486
0.184000,7073344.9494373864,6512525.2186889034,-560819.7307484830,-3.74716642,52.73882284
0.185000,7068041.1108663660,6512525.2186889034,-555515.8921774626,-3.71172835,52.77426091
0.186000,7062746.2163738366,6512525.2186889034,-550220.9976849332,-3.67635005,52.80963921
0.187000,7057460.2433548281,6512525.2186889034,-544935.0246659247,-3.64103135,52.84495790
0.188000,7052183.1692802496,6512525.2186889034,-539657.9505913462,-3.60577212,52.88021714
0.189000,7046914.9716969859,6512525.2186889034,-534389.7530080825,-3.57057219,52.91541706
0.190000,7041655.6282273121,6512525.2186889034,-529130.4095384087,-3.53543143,52.95055783
0.191000,7036405.1165686473,6512525.2186889034,-523879.8978797439,-3.50034967,52.98563959
0.192000,7031163.4144933103,6512525.2186889034,-518638.1958044069,-3.46532678,53.02066248
0.193000,7025930.4998481087,6512525.2186889034,-513405.2811592054,-3.43036260,53.05562666
0.194000,7020706.3505540974,6512525.2186889034,-508181.1318651941,-3.39545698,53.09053227
0.195000,7015490.9446061617,6512525.2186889034,-502965.7259172583,-3.36060979,53.12537947
0.196000,7010284.2600728478,6512525.2186889034,-497759.0413839445,-3.32582087,53.16016839
0.197000,7005086.2750959992,6512525.2186889034,-492561.0564070959,-3.29109007,53.19489918
0.198000,6999896.9678903800,6512525.2186889034,-487371.7492014766,-3.25641726,53.22957200
0.199000,6994716.3167434810,6512525.2186889034,-482191.0980545776,-3.22180228,53.26418697
0.200000,6989544.3000151878,6512525.2186889034,-477019.0813262844,-3.18724500,53.29874426
0.201000,6984380.8961373782,6512525.2186889034,-471855.6774484748,-3.15274526,53.33324400
0.202000,6979226.0836137803,6512525.2186889034,-466700.8649248770,-3.11830293,53.36768633
0.203000,6974079.8410195606,6512525.2186889034,-461554.6223306572,-3.08391785,53.40207140
0.204000,6968942.1470010858,6512525.2186889034,-456416.9283121824,-3.04958990,53.43639936
0.205000,6963812.9802756049,6512525.2186889034,-451287.7615867015,-3.01531892,53.47067034
0.206000,6958692.3196308957,6512525.2186889034,-446167.1009419924,-2.98110477,53.50488448
0.207000,6953580.1439251369,6512525.2186889034,-441054.9252362335,-2.94694732,53.53904194
0.208000,6948476.4320864389,6512525.2186889034,-435951.2133975355,-2.91284642,53.57314284
0.209000,6943381.1631126665,6512525.2186889034,-430855.9444237631,-2.87880193,53.60718732
0.210000,6938294.3160710363,6512525.2186889034,-425769.0973821329,-2.84481372,53.64117554
0.211000,6933215.8700980572,6512525.2186889034,-420690.6514091538,-2.81088163,53.67510762
0.212000,6928145.8043989409,6512525.2186889034,-415620.5857100375,-2.77700554,53.70898371
0.213000,6923084.0982475504,6512525.2186889034,-410558.8795586471,-2.74318531,53.74280395
0.214000,6918030.7309860373,6512525.2186889034,-405505.5122971339,-2.70942079,53.77656847
0.215000,6912985.6820245571,6512525.2186889034,-400460.4633356538,-2.67571185,53.81027741
0.216000,6907948.9308409737,6512525.2186889034,-395423.7121520704,-2.64205835,53.84393090
0.217000,6902920.4569805767,6512525.2186889034,-390395.2382916734,-2.60846016,53.87752909
0.218000,6897900.2400559438,6512525.2186889034,-385375.0213670405,-2.57491714,53.91107212
0.219000,6892888.2597464593,6512525.2186889034,-380363.0410575559,-2.54142915,53.94456010
0.220000,6887884.4957980933,6512525.2186889034,-375359.2771091899,-2.50799606,53.97799319
0.221000,6882888.9280233188,6512525.2186889034,-370363.7093344154,-2.47461774,54.01137152
0.222000,6877901.5363005325,6512525.2186889034,-365376.3176116291,-2.44129404,54.04469522
0.223000,6872922.3005740289,6512525.2186889034,-360397.0818851255,-2.40802484,54.07796442
0.224000,6867951.2008535881,6512525.2186889034,-355425.9821646847,-2.37481000,54.11117926
0.225000,6862988.2172143217,6512525.2186889034,-350462.9985254183,-2.34164939,54.14433987
0.226000,6858033.3297963496,6512525.2186889034,-345508.1111074463,-2.30854287,54.17744639
0.227000,6853086.5188044822,6512525.2186889034,-340561.3001155788,-2.27549032,54.21049894
0.228000,6848147.7645080425,6512525.2186889034,-335622.5458191391,-2.24249159,54.24349766
0.229000,6843217.0472405953,6512525.2186889034,-330691.8285516920,-2.20954657,54.27644268
0.230000,6838294.3473995365,6512525.2186889034,-325769.1287106331,-2.17665512,54.30933414
0.231000,6833379.6454461655,6512525.2186889034,-320854.4267572621,-2.14381711,54.34217215
0.232000,6828472.9219050119,6512525.2186889034,-315947.7032161085,-2.11103240,54.37495686
0.233000,6823574.1573639531,6512525.2186889034,-311048.9386750497,-2.07830087,54.40768838
0.234000,6818683.3324736776,6512525.2186889034,-306158.1137847742,-2.04562240,54.44036686
0.235000,6813800.4279476153,6512525.2186889034,-301275.2092587119,-2.01299684,54.47299242
0.236000,6808925.4245615322,6512525.2186889034,-296400.2058726288,-1.98042408,54.50556518
0.237000,6804058.3031534739,6512525.2186889034,-291533.0844645705,-1.94790398,54.53808528
0.238000,6799199.0446232827,6512525.2186889034,-286673.8259343794,-1.91543641,54.57055284
0.239000,6794347.6299325144,6512525.2186889034,-281822.4112436110,-1.88302126,54.60296800
0.240000,6789504.0401041647,6512525.2186889034,-276978.8214152614,-1.85065839,54.63533087
0.241000,6784668.2562223589,6512525.2186889034,-272143.0375334555,-1.81834767,54.66764159
0.242000,6779840.2594321407,6512525.2186889034,-267315.0407432374,-1.78608898,54.69990027
0.243000,6775020.0309392586,6512525.2186889034,-262494.8122503553,-1.75388220,54.73210705
0.244000,6770207.5520098619,6512525.2186889034,-257682.3333209585,-1.72172720,54.76426206
0.245000,6765402.8039703025,6512525.2186889034,-252877.5852813991,-1.68962385,54.79636540
0.246000,6760605.7682069233,6512525.2186889034,-248080.5495180199,-1.65757204,54.82841722
0.247000,6755816.4261656450,6512525.2186889034,-243291.2074767416,-1.62557163,54.86041763
0.248000,6751034.7593520451,6512525.2186889034,-238509.5406631418,-1.59362250,54.89236676
0.249000,6746260.7493307469,6512525.2186889034,-233735.5306418436,-1.56172453,54.92426473
0.250000,6741494.3777255286,6512525.2186889034,-228969.1590366252,-1.52987760,54.95611166
0.251000,6736735.6262187678,6512525.2186889034,-224210.4075298645,-1.49808158,54.98790768
0.252000,6731984.4765514871,6512525.2186889034,-219459.2578625837,-1.46633636,55.01965290
0.253000,6727240.9105229294,6512525.2186889034,-214715.6918340260,-1.43464180,55.05134745
0.254000,6722504.9099904262,6512525.2186889034,-209979.6913015228,-1.40299780,55.08299146
0.255000,6717776.4568691226,6512525.2186889034,-205251.2381802192,-1.37140422,55.11458504
0.256000,6713055.5331317717,6512525.2186889034,-200530.3144428683,-1.33986095,55.14612830
0.257000,6708342.1208085371,6512525.2186889034,-195816.9021196337,-1.30836788,55.17762138
0.258000,6703636.2019865578,6512525.2186889034,-191110.9832976544,-1.27692486,55.20906439
0.259000,6698937.7588100582,6512525.2186889034,-186412.5401211549,-1.24553180,55.24045746
0.260000,6694246.7734798705,6512525.2186889034,-181721.5547909671,-1.21418857,55.27180069
0.261000,6689563.2282532966,6512525.2186889034,-177038.0095643932,-1.18289505,55.30309421
0.262000,6684887.1054438734,6512525.2186889034,-172361.8867549701,-1.15165112,55.33433813
0.263000,6680218.3874212056,6512525.2186889034,-167693.1687323023,-1.12045667,55.36553258
0.264000,6675557.0566105656,6512525.2186889034,-163031.8379216623,-1.08931158,55.39667768
0.265000,6670903.0954929031,6512525.2186889034,-158377.8768039998,-1.05821573,55.42777353
0.266000,6666256.4866044987,6512525.2186889034,-153731.2679155953,-1.02716900,55.45882025
0.267000,6661617.2125367420,6512525.2186889034,-149091.9938478386,-0.99617129,55.48981797
0.268000,6656985.2559359670,6512525.2186889034,-144460.0372470636,-0.96522246,55.52076680
0.269000,6652360.5995032154,6512525.2186889034,-139835.3808143120,-0.93432241,55.55166685
0.270000,6647743.2259940123,6512525.2186889034,-135218.0073051089,-0.90347102,55.58251823
0.271000,6643133.1182180550,6512525.2186889034,-130607.8995291516,-0.87266818,55.61332108
0.272000,6638530.2590392465,6512525.2186889034,-126005.0403503431,-0.84191377,55.64407548
0.273000,6633934.6313752457,6512525.2186889034,-121409.4126863424,-0.81120768,55.67478158
0.274000,6629346.2181973886,6512525.2186889034,-116820.9995084852,-0.78054980,55.70543946
0.275000,6624765.0025303913,6512525.2186889034,-112239.7838414880,-0.74994000,55.73604926
0.276000,6620190.9674522057,6512525.2186889034,-107665.7487633023,-0.71937818,55.76661108
0.277000,6615624.0960938055,6512525.2186889034,-103098.8774049021,-0.68886423,55.79712503
