pool_id,pool_name.name,pool_name.ticker,pool_name.description,active_stake,live_stake,pledged,live_pledge,blocks.epoch,delegators,epochs.0.no,epochs.0.data.epoch_stake,epochs.0.data.delegators,epochs.0.data.block.minted,epochs.0.data.reward.member_lovelace,epochs.0.data.reward.leader_lovelace,pool_update.active.margin,pool_update.active.fixed_cost,pool_update.active.pledge,saturation,f_reward_ada_a0_0.3,f_reward_ada_a0_0.303,f_reward_ada_a0_0.33
pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,,,,4419361614,,0,,0,2,644,4419361614,2,0,0,0,0,340000000,4000000000,,1.3125293360,1.3095074151,1.2829235997
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,YuliPool,YULI,Yulius Pool,6712196804,,1497271996,,0,4,644,6712196804,4,0,0,0,0.005,340000000,1000000,,1.9934965036,1.9889068083,1.9485312941
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888POOL.IO,888,A Cardano Stake Pool For Everyone,1268558683840,,53374407057,,3,108,644,1268558683840,108,3,683857007,200113477,0,170000000,50000000000,,376.8299224801,375.9630613474,368.3372904808
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,ROMER,ROMER ROKXS,1764031096207,,93160970503,,0,899,644,1764031096207,899,0,0,0,0.01,340000000,50000000000,,524.0871760393,522.8823157217,512.2831685677
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,Garden Pool Two,EDEN,Grow your wealth with the highest pledged pools on the network!,58465669811509,,1094142715,,63,1631,644,58465669811509,1631,63,18037464720,522537017,0.01,340000000,1000000000,,17364.0732764935,17324.0953301275,16972.4096365324
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,Binance Staking - 75,BNP,Binance Staking,24668670882,,17639298,,0,5,644,24668670882,5,0,0,0,0.06,345000000,2000000,,7.3264674102,7.3095991096,7.1612087957
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,Nu.Fi & AdaLite B,NUFIB,Nu.Fi & AdaLite B,24594658611330,,1004645511,,30,3812,644,24594658611330,3812,30,8242809121,595280592,0.03,340000000,1000000000,,7304.5140469275,7287.6965695707,7139.7533477103
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,Pilot Pool 2,PILOT,325K Pledge. 0% Margin. Mission Driven Pool donating 10% of all fees to the Multiple Sclerosis (MS) International Federation,14870603710077,,325050000000,,14,1493,644,14870603710077,1493,14,3708581869,420942914,0,340000000,325000000000,,4421.9488861671,4411.8223272218,4322.7390643197
pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,ADASTATS StakePool,ADASC,"Our Mission is to provide comprehensive on-chain metrics for Cardano, giving you the information you need to make informed decisions about your investments.",1182230365966,,105494080424,,0,14,644,1182230365966,14,0,0,0,0,340000000,100000000000,,351.2470047942,350.4396053804,343.3369188079
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,adaseal.eu,SEAL,"Community pool - Dedicated HA cluster, server room, 0% margin. 10% of profits donated to seal sanctuaries and zoos.",1895162283236,,100377502775,,2,129,644,1895162283236,129,2,397161217,192175401,0,170000000,60000000000,,563.0606644861,561.7663538541,550.3803129563
