epoch,rank,pool_id,ticker,active_stake_lovelace,declared_pledge_lovelace,active_pledge_lovelace,n_owners
228,1,pool1x0qm7xsyh2za3ltprxsgael544je4hg8tc3q3v5gv232z8jt4wp,PPCX1,211629046193261.0,7000000000000.0,7009571239197.0,2
228,2,pool1ekcsyzwexl7p2kwxxh34hy28l6772vrmff7jwmuxsa6u6fzty9z,ADALO,207417533502032.0,1000000000000.0,2032598628244.0,2
228,3,pool1gclysx2h7fndj0jdajlmwvqr8q9tzu3rurjknacu0ff954fsg9a,1PCT0,203185199154469.0,111000000000.0,245773263680.0,2
228,4,pool155cu3s06js3llfh07vnzepatfuvt3s5s7uwldt9rzz55wz7pugt,SPS,200843160589718.0,10000000000.0,183651611832.0,2
228,5,pool1a2nh3ktswllhwf07fjahpdg5mpqyq7j950pyftq9765r6t4cefl,OCEAN,198499286484774.0,500000000000.0,2600490404655.0,5
228,6,pool17vxhghxt2w2hc8c945ex2wqpwlcz39v6uc3fcxvqln45s8xrdt3,IOG15,198027792334666.0,1470000000000.0,1470000000000.0,1
228,7,pool1v4xevkf7fx08pzy7atsk59dds6p0sdyl6xmhwf4mh79x6l5p6kx,DIVY,194553525052185.0,1000000000000.0,2128688945328.0,2
228,8,pool1jg3fmnmc9n52sgzslhhvhye5e3xeqmrwkekdhh82sma47r47zg0,NUFI3,191162798895097.0,50000000000.0,70919438062.0,1
228,9,pool1c55n72ag3tz8g7rntzuu9a86u7eugsy008xl3xsje8kwgvz2vdz,,182358115581967.0,1000000000.0,33708725827.0,1
228,10,pool1ecvcst7k9eul4ggnljh0jw2s5nc2tyfmyzsx3xg3kmmz6ptgfwj,NUFI2,179333213150949.0,50000000000.0,108749417807.0,1
228,11,pool1vxvdypctdecvc2j7xu9y8h2fdxvkpjy2pp8luwg2h6dx5jlv0nk,COOL,178751242706057.0,300000000000.0,2026950518480.0,4
228,12,pool1vxz0deezj5c2950e7arpzfqxzq8zd9kawsullrzjw5rsq0yhxgr,ZZZ,177376918659981.0,50000000000.0,160336001964.0,1
228,13,pool1mxqjlrfskhd5kql9kak06fpdh8xjwc76gec76p3taqy2qmfzs5z,IOG1,175179504731677.0,5000000000000.0,5000001000000.0,1
228,14,pool12vs4c3cm0tr49c7alrevfs0xa5g3s4al4fn46h33e69uusat04v,BLOOM,172280664808829.0,2500000000000.0,7576425062475.0,3
228,15,pool1gjmerqh4wxl553enqeqgc6m3r3gt6yspdg29jy6nuypa6k2tpdt,,171358629917322.0,1000000000.0,37078813622.0,1
228,16,pool1wpmjtfqcwvtcs9znpuulk99yk2zz6pfh0c4k9f2xlcspgqjndk2,MS4,170453519849301.0,100000000000.0,109875942842.0,1
228,17,pool1hntu7agmt8u5j9c20ejen7dvq0jfkvkpnul3mrdd8tppqvwfvt2,BLOOM,168763097566033.0,2500000000000.0,7570592017734.0,3
228,18,pool1jx4ss2zjage3cw0wht3450328y82yeprmq4fr3e2qtac2rhezkv,ZZZ5,163957456673106.0,50000000000.0,149804219210.0,1
228,19,pool150n38x8gquu4yt5s0s6m3ajjqe89y68x96dh32tq8a4es2l6dvp,ETO1,162514745594674.0,0.0,0.0,3
228,20,pool1xt7mjrtnsew3v33lu8sf93upf20sxhmcrfnpm82ra46yxk7uy45,ETO3,162000007657118.0,0.0,0.0,3
228,21,pool19066qvd5dv6vq7fh5a5l7muzk6nc5fw8zq3w4tclyrhvjvlyeuc,ETO2,162000007657118.0,0.0,0.0,3
228,22,pool1qs6h0y7czzt605kptmrv6cr85kxd6tajr2hs0etvxphv7tr7nqu,,160241262049855.0,1000000000.0,57831113540.0,1
228,23,pool1vc8jp7uagxgh8trzx7r260ndcydz89ges8sws05cyv7jj8q8gqs,OCEA3,160024071442010.0,500000000000.0,2574608246605.0,5
228,24,pool1s0cfkzheywsftgwp0yz7sq4rt5gyf7t5kfwj5a269kpxvndjn6q,OCEA5,159747417330544.0,500000000000.0,2585881337780.0,5
228,25,pool1a6v2wt0m8wjra80zuw00sfdxn4w52cna96gcaglzvred6gnsusx,MS1,159656100805900.0,100000000000.0,248622871835.0,1
228,26,pool1l3fvlzadk5hg78wy3e304s9t8tjzxnu962e2fl7tq8x2yg3mz6l,IOG18,158802509169220.0,1050000000000.0,1050000000000.0,1
228,27,pool1ddgcpgjcyawxw95se9x8qnc8gxgwjr4fqrk4vk6v9x47s0ggpjp,1PCT8,156156960158048.0,111000000000.0,241480802484.0,2
228,28,pool1z7n2ruhmxmv77f6cqhd3wsy6774h2wuay77agxuf2y9mj8q55vw,1PCT2,154862556080569.0,111000000000.0,239895282762.0,2
228,29,pool1xxhs2zw5xa4g54d5p62j46nlqzwp8jklqvuv2agjlapwjx9qkg9,SWIM,154777174842077.0,425000000000.0,878048290704.0,2
228,30,pool1vx9tzlkgafernd9vpjpxkenutx2gncj4yn88fpq69823qlwcqrt,CRDNS,153711397023458.0,500000000000.0,1006279632964.0,2
228,31,pool15yyxtkhz64p7a8cnax9l7u82s9t9hdhyxsa3tdm977qhgpnsuhq,SECUR,152126118969437.0,850000000000.0,892025783744.0,2
228,32,pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,ATADA,149415615870607.0,2500000000000.0,10200030000000.0,21
228,33,pool1ctzja2cdwyeqnvehmrlclc5wrn9w9acwklk3acn73jrx56d66vs,OCEA2,148400747910454.0,500000000000.0,2566669694195.0,5
228,34,pool1rvng7n968748udkc5rxy4h9zp9hms4s3jsfwuues76ft28uc056,DIGI,143644351344562.0,600000000000.0,611717361298.0,1
228,35,pool1myvgx4ef424e6nw2strqq7dxcepav52plyyhxrk0avaw7y098l2,COOL2,141551069314714.0,300000000000.0,2023374448544.0,8
228,36,pool1nncdkshmqynzv3ledrlnan542qercf4h8xydjjylkg0xu62fk6y,IOG14,139909575254920.0,1470000000000.0,1470000000000.0,1
228,37,pool1cd987kw92e3nmjywcfwfws79a09rwp0p0xj5mdtr39qukxgp9uf,,139552222139708.0,1000000000.0,44189242639.0,1
228,38,pool14u30jkg45xwd27kmznz43hxy596lvrrpj0wz8w9a9k97kmt4p2d,,139431399181317.0,1000000000.0,38890433264.0,1
228,39,pool14mm59ntjqzphjr6chrww639cdr3yjce4qcwzc5jkk38y22u7uc6,ZZZ2,134943947520060.0,50000000000.0,128426328580.0,1
228,40,pool17038jcq6xdgjn0xsjx7m79rx52r7sucqwtr5j20tk23w5mjank3,IOG17,132396388243450.0,1100000000000.0,1100000000000.0,1
228,41,pool1welc4vthqtkvcf2e4adza90np6p7v7c4dmkmf567w3xr7ffqd72,IOG12,132374730933437.0,1700000000000.0,1700000000000.0,1
