pool_id,pool_ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,declared_fixed_cost_ada,margin,pledge_met,ratio_k500,category_k500,ratio_k1000,category_k1000,delegators,blocks_minted,target_group
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,TW001,114176461.996014,100.0,8655.681386,340.0,0.1,True,3.52185710346111,comfortable,1.9673602792016052,edge,22259.0,133.0,edge
pool17s3mr9c4ejjfq20dz0ls9ggskc770kt267s9xmw93payzdswwgg,FIKA,71803695.526176,50000.0,51462.324565,998.0,0.03,True,2.1887110341231457,comfortable,1.782306902046153,edge,2547.0,70.0,edge
pool1wm5pnu72efdcvjm34r7ykkxx2h549swddjrn6r2aqy3tvjc4l57,FGMT6,50743602.65406,2e-06,9.820727,170.0,0.1,True,2.239962631036762,comfortable,1.7598863766802384,edge,5.0,60.0,edge
pool1v96277f457qtwhuq3ma9yjlacq4mjw9h4j3jfy5rjgjru5lyxea,FGMT8,63907371.522222,2e-06,9.820727,170.0,0.1,True,2.7674909422814715,comfortable,1.7598858275605394,edge,3.0,64.0,edge
pool1cauj94scz5wp58defdxqqgnujaalvxe388peyv2gx79y6suzl55,FGMTA,69797994.297653,2e-06,9.820727,170.0,0.1,True,3.003553296671773,comfortable,1.7598856489173995,edge,5.0,76.0,edge
pool1l92vxagssugcsu4wyhvnjd0t6dlqjjfrxkt8v4qaucgmq8t3j3s,FGMTI,69999065.64124,2e-06,9.820727,170.0,0.1,True,3.011611082160719,comfortable,1.7598856433502357,edge,3.0,65.0,edge
pool1fuge4duc9hfgm9xvu33llsntmnfcumsyw2d0away49v8gmphfzs,FGMTK,73044778.176785,2e-06,9.820727,170.0,0.1,True,3.133665760979226,comfortable,1.7598855627703731,edge,3.0,76.0,edge
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,gjp7a,86322745.389197,2.0,9.820727,170.0,0.1,True,3.31332382673432,comfortable,1.7598853019518257,edge,59.0,83.0,edge
pool1h5a30zxga37fphw3tjkp8anu3xm69a28kytceppz2prysfzfcjv,FGMTP,48398274.503951,2e-06,5.046709,170.0,0.1,True,2.1459736363409174,comfortable,1.7598851471463182,edge,2.0,47.0,edge
pool1ff2hr0sukqqd75jr2rh3wrmnesxqgpq42dgd6rm3ungnqp904ue,BD3,56761459.222046,200.0,6399.632571,340.0,0.08,True,2.2441210294072076,comfortable,1.6663841765620966,edge,27.0,76.0,edge
pool1dl4695wfl79k7gtzt87gsf8gsqeq97yzuvaq0d4zxhz6c0nlf4g,BD2,61871956.57936,200.0,4930.387423,170.0,0.08,True,2.1964152789377316,comfortable,1.4549079943286127,edge,32.0,62.0,edge
pool1gtphgrdj8sluxm9e7ca2spcwcq2p0dxj9zf5v0yv3gsagzq704n,ADAFR,63162642.487696,3030000.0,4034096.211119,170.0,0.015,True,2.2064945054066527,comfortable,1.4501829691226364,edge,3831.0,70.0,edge
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,CH1,76723576.889819,3000000.0,5117017.813534,170.0,0.0,True,2.288488956258554,comfortable,1.2741935075817843,edge,1918.0,87.0,edge
pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze,LBF2,84297666.364494,2.0,9.820727,170.0,0.06,True,2.0797499016140306,comfortable,1.147686039913114,edge,8480.0,86.0,edge
pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,LBF4,86942067.15871,2.0,9.820727,170.0,0.06,True,2.0797497988932,comfortable,1.1476859889347206,edge,5084.0,90.0,edge
pool192pfftt48zc4x5aellvpufk6l6zxllpldw0rx82vrhqrqfhhqs2,EMUR5,52687543.26576,500.0,1799.666354,170.0,0.015,True,0.5433599593822521,losing_050_075,0.4594759074477006,losing_025_050,2627.0,66.0,losing_deep
pool1m0drnjxsvnlesq0rwmur2rh6lenuql57jfzd6cf6aegj2cv7ugy,EMUR1,60196587.330888,500.0,1805.065577,170.0,0.015,True,0.5885010286292284,losing_050_075,0.4594130252178752,losing_025_050,1480.0,75.0,losing_deep
pool13hxlxd6qa68fmfhrvvmasa0mjg30tj9p5v2lmgmgsmrp2rgzkfp,dtDn,56101418.142367,275000.0,278116.782153,170.0,0.01,True,0.5614828413058949,losing_050_075,0.4580421127961502,losing_025_050,696.0,65.0,losing_deep
pool1qqqqpanw9zc0rzh0yp247nzf2s35uvnsm7aaesfl2nnejaev0uc,TITAN,55063701.336049,250000.0,250002.026843,170.0,0.01,True,0.5462177284424474,losing_050_075,0.4516641096039691,losing_025_050,3707.0,55.0,losing_deep
pool1krznhwu3h5pu2stuslr53z5rme50t6384macsmylcnljwc7yjky,LEAF,54453895.984252,150000.0,229245.91584,170.0,0.01,True,0.5354846071499133,losing_050_075,0.4464788972313027,losing_025_050,754.0,60.0,losing_deep
pool1a8n7f97dmgtgrnl53exccknjdchqxrr9508hlxlgqp6xvjmzhej,HAPPY,55772438.400716,130000.0,151346.484422,170.0,0.01,True,0.5101661505682085,losing_050_075,0.4237503640633786,losing_025_050,1207.0,57.0,losing_deep
pool1zkdc6ve9nndk7vxnjlalhqt4hr5h8auz5qzjk7lrjrqtv23yuy5,CLOVR,60117960.162503,101000.0,101416.98451,170.0,0.01,True,0.5079721649431745,losing_050_075,0.4081376571674655,losing_025_050,1294.0,45.0,losing_deep
pool1ekcsyzwexl7p2kwxxh34hy28l6772vrmff7jwmuxsa6u6fzty9z,ADALO,75752912.102008,200000.0,702340.837652,170.0,0.0,True,0.5089342766574659,losing_050_075,0.3715079331605593,losing_025_050,3869.0,88.0,losing_deep
pool1rmpv0h0pecysach8tj06vxx9wku2pdm74mk9cunx759v58q0hu2,SASA,41841973.891547,80.0,1919.604158,340.0,0.035,True,1.0303110141237055,edge,0.9870843305560152,losing_075_100,219.0,42.0,losing_near
pool1a23gmvalpdams9d42t7fur8vmknzjv7wd3nsvuvrc7dv66lnau0,AOS,48497236.542378,350000.0,382494.028273,340.0,0.025,True,1.0799539764870192,edge,0.9529637031053116,losing_075_100,2055.0,45.0,losing_near
pool19w5khsnmu27au0kprw0kjm8jr7knneysj7lfkqvnu66hyz0jxsx,ATAD2,59980523.776819,1300000.0,1350464.974458,340.0,0.01,True,1.2239866311009318,edge,0.9506068798243952,losing_075_100,3054.0,62.0,losing_near
pool1s6se64qce5rjjjhh6ufcdnc54p8qg78mlhjm38lymx99sqysvzx,PAUL1,57758749.229533,100000.0,100144.001581,340.0,0.03,True,1.1778393241599698,edge,0.9367738715448156,losing_075_100,5957.0,54.0,losing_near
pool1q5q3rld4nll02w8sqhf9582jcf22t99yt27z0pqksvpnv4rdra9,,53123918.747451,0.0,64572.408101,340.0,0.03,True,1.1082377227259528,edge,0.9288133134731132,losing_075_100,2.0,43.0,losing_near
pool1y6gnk7t3n6rvpr67f68mehxgqs5x24n0esz9l5j7m4aqzn4e0qw,,58982997.094048,0.0,66218.753498,340.0,0.03,True,1.1793584703402733,edge,0.9274558286540052,losing_075_100,2.0,57.0,losing_near
pool1j6xfryctrxm4aplw3vnrtgfsvqdr35exenxqse5kzxmfue7qqmr,,61473087.543909,0.0,68871.770683,340.0,0.03,True,1.2103273439661375,edge,0.9274219195886262,losing_075_100,2.0,55.0,losing_near
pool1095d0cr8yp0selmnrst5hnuf8jcl6vlkxlr2j6kq4x6qs4yxuwt,,59250169.612026,0.0,62076.302338,340.0,0.03,True,1.1809936030181347,edge,0.9263594153861484,losing_075_100,2.0,63.0,losing_near
pool197na7w0h8hjc8wdvwys7nsalhtpctefa3m23udeqxpfk6nzq8l9,,78580631.443634,0.0,76585.327202,340.0,0.03,True,1.4060074006681156,edge,0.9252905944841378,losing_075_100,4.0,74.0,losing_near
pool1w7c2j0px43jmudhf48ezp7dy8j7904c9l3wc7809lhh2z026hch,STAT,47976352.344567,750000.0,966592.336759,170.0,0.025,True,1.079945969417407,edge,0.9166800363574228,losing_075_100,4446.0,43.0,losing_near
pool1aqg8vxzv75zhjzjjd9s20fu6r0xz70yl8lk3teacwy7qyc2p2j7,KILN7,65955029.462936,100.0,3251.012417,340.0,0.03,True,1.2391793131014923,edge,0.911759741466362,losing_075_100,31.0,71.0,losing_near
pool1mtuhuh8hkf8am0qzx45y58kll8q83sjh6pwljrflcmw970d82f3,KILN6,67753433.424012,100.0,3115.03727,340.0,0.03,True,1.2607488531192377,edge,0.9117112611421888,losing_075_100,20.0,86.0,losing_near
