pool_id,pool_ticker,epoch_stake_ada,declared_pledge_ada,active_pledge_ada,margin,declared_fixed_cost_ada,T_ada,R_ada,a0,opex_epoch_ada_Cstar,ada_usd,z0_k150_ada,f_ada_k150,Pi_ada_k150,coverage_ratio_k150,category_k150,viable_k150,z0_k500_ada,f_ada_k500,Pi_ada_k500,coverage_ratio_k500,category_k500,viable_k500
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,YULI,6481.489374,1.0,1.0,0.005,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,4.621632446896886,4.621632446896886,0.004573129557649092,losing,False,64070000.0,4.6216324620431175,4.6216324620431175,0.0045731295726363684,losing,False
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,142795.784978,50000.0,50000.0,0.0,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,101.82532515772544,101.82532515772544,0.1007566935593685,losing,False,64070000.0,101.8361862248069,101.8361862248069,0.10076744064223771,losing,False
pool103gv6hc8ux9tvu7597f4806fayzeyvrn2pp338ndztgl6jg29mf,KIBC2,1024684.657505,17000.0,17000.0,0.03,500.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,730.669572440307,510.6321962808076,0.5052732376991499,losing,False,64070000.0,730.7096242965856,510.63404238123974,0.5052750644252147,losing,False
pool104re5tajgh4mpp7c744khap56lf609cfjlna5ysjkum8qn8fel9,TOKYO,3411244.365039,100000.0,100000.0,0.01,500.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,2432.722989332217,575.4180740160363,0.5693792036740388,losing,False,64070000.0,2433.4985126502006,575.448336229152,0.5694091482927142,losing,False
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,VOLT,22133533.507169,1000.0,1000.0,0.0,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,15782.360234292672,340.6976906886237,0.33712215270538476,losing,False,64070000.0,15782.411963607035,340.6976930257704,0.3371221550180037,losing,False
pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc,AZUR,17645327.936427,500000.0,500000.0,0.02,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,12590.625432453835,925.2049087863498,0.9154951121424151,losing,False,64070000.0,12610.870698134819,926.172012786184,0.9164520666250097,losing,False
pool1092quwhywgsjcnmjpd6w9lp90uxwwcedpv05fk645jdjqv5dmj6,,1022.027119,1000.0,1000.0,0.0,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,0.7287574751131645,0.7287574751131645,0.0007211093456891883,losing,False,64070000.0,0.7287575266435203,0.7287575266435203,0.0007211093966787458,losing,False
pool10akpqvczl93ep4rc59c0aqyn3dm0env2ydysuwmdm670wl24pd8,,11077384.870745,1000000.0,1000000.0,0.05,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,7908.885444452752,1367.5542612796962,1.3532021176080953,edge,True,64070000.0,7932.963668170974,1370.8231284817807,1.3564366788575342,edge,True
pool10capak8jppvj8h46e35xdth6h22pahtr3lcgscrpa06jzv0xn8w,SWAG,36642001.490819,100000.0,100000.0,0.025,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,26131.2772385044,1053.409446612492,1.0423541750588377,edge,True,64070000.0,26139.835229172422,1053.6461681726587,1.0425884122847897,edge,True
pool10cz0gm5zu74clhrxp9mm7ulslves04wyfxaqzr4sjr2zv7qjpnv,,342279.771204,100000.0,100000.0,0.0,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,244.08721312944147,244.08721312944147,0.24152557820904252,losing,False,64070000.0,244.14400119082077,244.14400119082077,0.24158177029376568,losing,False
pool10dwjth7esfw5gc036vu6l6csnvn6elqax0d3kh8t65rxyewk2g3,IOG2,113741616.917436,3300000.0,3300000.0,0.07,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,81474.41104505268,8208.594352236976,8.122447185122045,strong,True,64070000.0,46391.09766637856,4806.137146306125,4.755697925880123,comfortable,True
pool10efuydxjnasr0309lqklmj9xahupdnzqd59r5dqjeh4twz06tr0,F4ADA,19818306.088752,300000.0,300000.0,0.03,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,14137.335903623956,956.5117986198383,0.946473443911684,losing,False,64070000.0,14151.1059715397,957.1270919922076,0.9470822799323194,losing,False
pool10eltx2wej46e62ulmwzm35xfu0azu47yvpjper7gwhncqe74vg6,CHIL,135339.694205,35000.0,35000.0,0.029,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,96.50762165380856,96.50762165380856,0.09549479803825134,losing,False,64070000.0,96.51583752065517,96.51583752065517,0.09550292768160781,losing,False
