pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,fixed_cost_ada,margin,f_ada_k1000,desirability,role,free_space_ada,rank,received_ada,sigma_after_ada
pool1yr0cv3dtmhcfgqa6yetvmf769ngk89e6tepecmjrmjl2jzcw2lm,EASY1,35867866.464997,200000.0,212188.98176,170.0,0.0,10669.051227219203,0.000292714684813079,receiver,4132133.535002999,1.0,4132133.535002999,40000000.0
pool13qdkwy5y88ncr5qpjrh8hgtf94d0zw4wuhgezjg3hvlyyrh37c7,SECUR,37140751.104413,100000.0,104328.204817,170.0,0.0,11039.145638805256,0.00029264743753428836,receiver,2859248.8955869973,2.0,2859248.8955869973,40000000.0
pool1c89d4drtwn0048mekkdkzllz559ahnntxelyw2mppxnmc36hjlx,CLIO1,36712260.296272,1135000.0,1456978.401462,170.0,0.0099,10998.967887321327,0.0002920485150930792,receiver,3287739.703727998,3.0,3287739.703727998,40000000.0
pool19asxjgd6ah9ddzauwede4wpt9vsp6s4ax5nz297wt47evc9sn7z,,30088506.927409,7890000.0,8062501.672268,500.0,0.0215,9449.764042681605,0.0002910527975645905,receiver,9911493.072591,4.0,9911493.072591,40000000.0
pool18qddv82sx8p22uxzdrf0qx9lkewxadlr9ef45kpcf7dzz3n56qv,ALFA,25178805.881215,240000.0,264260.640456,170.0,0.0,7491.817508903658,0.0002907928812607512,receiver,14821194.118785001,5.0,14821194.118785001,40000000.0
pool1gqgyta9sku3crjzfl9kj7kxsgfkt98y98yeu09kx22zscrezuj7,FORTE,31092311.983577,2000000.0,2026129.211247,170.0,0.019,9375.365883075994,0.0002904404129248238,receiver,8907688.016422998,6.0,8907688.016422998,40000000.0
pool1qvvn2l690zm3v2p0f3vd66ly6cfs2wjqx34zpqcx5pwsx3eprtp,VIPER,22616561.896847,401000.0,580739.024395,170.0,0.0,6737.692789377994,0.0002903930676701839,receiver,17383438.103153,7.0,17383438.103153,40000000.0
pool1mn6relcs7dn2fqzfq5yjlwxa49d900p5sdpw62jlx45k2djgwe4,RED,24435324.385274,12059.0,32610.477122,170.0,0.0,7257.8413763274175,0.0002900653686676212,receiver,15564675.614726,8.0,15564675.614726,40000000.0
pool1t6n7rysk6wzm9wqxda6zxpzmm3j6256fs3mp06dc26n6503hhj4,DAVE,37599288.820473,2000.0,2275.337349,170.0,0.01,11166.966007922161,0.00028955325191988514,receiver,2400711.1795269996,9.0,2400711.1795269996,40000000.0
pool1eaeynp2hs06v4x8q65jfm2xqcd3dc80rv220gmxvwg8m5sd6e7a,HODLR,19972736.502396,20001.0,20069.694472,170.0,0.0,5932.716572410594,0.00028852914430224814,receiver,20027263.497604,10.0,20027263.497604,40000000.0
