stake_bin_M_ADA,n_pools,share_of_pools_pct,agg_stake_M_ADA,share_of_stake_pct
0–5,2072,76.9116555308092,905.0421863703905,4.229380402607247
5–10,116,4.3058648849294725,825.28961168656,3.8566861995027506
10–15,78,2.89532293986637,957.1053666088908,4.472678447178184
15–20,58,2.1529324424647363,1011.1214993674,4.7251028940757065
20–25,38,1.4105419450631032,856.4008821198411,4.002073231679042
25–30,34,1.2620638455827766,940.6078747321521,4.395583511840998
30–35,54,2.0044543429844097,1743.1018854701836,8.145742889313484
35–40,39,1.447661469933185,1429.871548771648,6.681976594785537
40–45,26,0.9651076466221232,1099.1272818178952,5.136365415555467
45–50,12,0.44543429844098,565.8222960026241,2.6441615276178547
50–55,29,1.0764662212323681,1504.8539477205877,7.032379143341808
55–60,23,0.8537490720118782,1321.622277723281,6.176113605785469
60–65,21,0.779510022271715,1315.519452517929,6.147594306118823
65–70,16,0.5939123979213066,1087.668329660629,5.082816234734716
70–75,42,1.55902004454343,2990.324448929956,13.974176908219578
75–80,31,1.1507052709725316,2377.938569719313,11.11241767160988
≥80,5,0.1855976243504083,467.51335845953304,2.1847510160334505
