stake_bin_M_ADA,n_pools_current,n_pools_after,agg_stake_current_M_ADA,agg_stake_after_M_ADA
0–5,2072,1935,905.0421863703905,478.59845291000477
5–10,116,17,825.28961168656,110.13248734665201
10–15,78,9,957.1053666088908,112.801662860856
15–20,58,8,1011.1214993674,147.21157988996697
20–25,38,3,856.4008821198411,67.882284918588
25–30,34,6,940.6078747321521,174.363327506482
30–35,54,11,1743.1018854701836,348.7506921732404
35–40,39,10,1429.871548771648,359.190330073018
40–45,26,490,1099.1272818178952,19600.0
45–50,12,0,565.8222960026241,0.0
50–55,29,0,1504.8539477205877,0.0
55–60,23,0,1321.622277723281,0.0
60–65,21,0,1315.519452517929,0.0
65–70,16,0,1087.668329660629,0.0
70–75,42,0,2990.324448929956,0.0
75–80,31,0,2377.938569719313,0.0
≥80,5,0,467.51335845953304,0.0
