pool_id,pool_name.name,pool_name.ticker,pool_name.description,active_stake,live_stake,pledged,live_pledge,blocks.epoch,delegators,epochs.0.no,epochs.0.data.epoch_stake,epochs.0.data.delegators,epochs.0.data.block.minted,epochs.0.data.reward.member_lovelace,epochs.0.data.reward.leader_lovelace,pool_update.active.margin,pool_update.active.fixed_cost,pool_update.active.pledge,saturation
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,,YULI,,6481489374,,1000000,,0,2,234,6481489374,2,0,0,0,0.005,340000000,1000000,0.0001
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,,888,,233704468236,,50000000000,,0,7,234,233704468236,7,0,0,0,0,340000000,50000000000,0.0036
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,,EDEN,,21212035220633,,1000000000,,26,76,234,21212035220633,76,26,13708602556,1019360412,0.0255,340000000,1000000000,0.3297
pool103gv6hc8ux9tvu7597f4806fayzeyvrn2pp338ndztgl6jg29mf,,KIBC2,,535005595491,,17000000000,,0,8,234,535005595491,8,0,0,0,0,340000000,17000000000,0.0083
pool104re5tajgh4mpp7c744khap56lf609cfjlna5ysjkum8qn8fel9,,TOKYO,,3469290814087,,100000000000,,6,9,234,3469290814087,9,6,5361929418,555359885,0.01,500000000,100000000000,0.053899999999999997
pool106l8sgu50wpw3nmqkmhlgzl5cctw428ruem2rpwjklg46nprex0,,,,74490466657,,100000000,,0,2,234,74490466657,2,0,0,0,0.025,345000000,100000000,0.0012
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,,VOLT,,43759571839678,,1000000000,,31,351,234,43759571839678,351,31,30762326574,340000000,0,340000000,1000000000,0.6803
pool1070ucp3fzs333ckxg8r4gcxhjymzy9t2q5gwscwzrvc9jr7plq0,,CPLP,,173596926415,,49500209164,,0,3,234,173596926415,3,0,0,0,0.01,340000000,49500209164,0.0027
pool107attaqquuq5ne2ch0hx0qcnlkzzr2683s4gml4ywnqvgj6pak9,,CCJ5,,102378896878648,,10000000000,,82,4,234,102378896878648,4,82,49037936685,2812742669,0.048,340000000,10000000000,1.5915000000000001
pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc,,AZUR,,49140659188443,,500000000000,,41,450,234,49140659188443,450,41,38966340232,1162442164,0.02,340000000,500000000000,0.7639
pool109s7c6kn6ugxjnf8d46s9h3nnezs3d77yu80scs9sjppqa0qkyn,,,,1726733323768,,100000000000,,2,6,234,1726733323768,6,2,1528080679,390168467,0.03,340000000,100000000000,0.0268
