pool_id,pool_name.name,pool_name.ticker,pool_name.description,active_stake,live_stake,pledged,live_pledge,blocks.epoch,delegators,epochs.0.no,epochs.0.data.epoch_stake,epochs.0.data.delegators,epochs.0.data.block.minted,epochs.0.data.reward.member_lovelace,epochs.0.data.reward.leader_lovelace,pool_update.active.margin,pool_update.active.fixed_cost,pool_update.active.pledge,saturation
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,,YULI,,6481489374,,1000000,,0,2,426,6481489374,2,0,0,0,0.005,340000000,1000000,0.0001
pool102vsulhfx8ua2j9fwl2u7gv57fhhutc3tp6juzaefgrn7ae35wm,,BNP,,5722279429,,2000000,,0,12,426,5722279429,12,0,0,0,0.06,340000000,2000000,0.0001
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,,888,,1451549476415,,50000000000,,0,62,426,1451549476415,62,0,0,0,0,340000000,50000000000,0.0202
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,,ROMER,,2439255988057,,50000000000,,2,1597,426,2439255988057,1597,2,611694989,346322857,0.01,340000000,50000000000,0.0339
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,,EDEN,,41205220209609,,1000000000,,35,2161,426,41205220209609,2161,35,14669792056,646130548,0.018,340000000,1000000000,0.5721
pool103a3tldslwvrcvj5rfraezfqra7sk6c0njawszv6ttpjkq84gyz,,,,2033148,,,,0,1,426,2033148,1,0,0,0,1,340000000,,0.0
pool103w4na57zyunn2s7r8cgrnqgsn3tskj4w69yx3alx4sezphv53t,,,,12050261103902,,2000000,,11,6,426,12050261103902,6,11,4756158809,590324252,0.05,340000000,2000000,0.1673
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,,BNP,,17639298,,2000000,,0,1,426,17639298,1,0,0,0,0.06,345000000,2000000,0.0
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,,NUFIB,,35797868284518,,1000000000,,38,5831,426,35797868284518,5831,38,17583618102,883840126,0.03,340000000,1000000000,0.49700000000000005
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,,PILOT,,21913662819842,,325000000000,,18,2048,426,21913662819842,2048,18,8294271299,340000000,0,340000000,325000000000,0.3042
pool104re5tajgh4mpp7c744khap56lf609cfjlna5ysjkum8qn8fel9,,TOKYO,,1114240137161,,100000000000,,2,12,426,1114240137161,12,2,551354443,355811428,0.025,340000000,100000000000,0.0155
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,,SEAL,,2573968859629,,60000000000,,3,181,426,2573968859629,181,3,1089031609,340000000,0,340000000,60000000000,0.035699999999999996
pool104ylwjrxvrp87r7769d6g6agu0ydxsn6hgmqjdsrf47e6j2ek46,,ELMPI,,923229434634,,100000000,,0,6,426,923229434634,6,0,0,0,0,340000000,100000000,0.0128
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,,,,38151489904294,,,,43,2,426,38151489904294,2,43,19531901088,1367994794,0.05,340000000,,0.5297
